[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
NAME                           VERSION    TYPE                    
alabaster                      0.7.16     python                  
ansible-pygments               0.1.2      python                  
babel                          2.17.0     python                  
certifi                        2025.10.5  python                  
charset-normalizer             3.4.4      python                  
click                          8.1.8      python                  
cython                         3.2.4      python                  
docutils                       0.21.2     python                  
expandvars                     1.1.2      python                  
idna                           3.11       python                  
imagesize                      1.4.1      python                  
jinja2                         3.1.6      python                  
markdown-it-py                 3.0.0      python                  
markupsafe                     3.0.3      python                  
mdit-py-plugins                0.4.2      python                  
mdurl                          0.1.2      python                  
myst-parser                    3.0.1      python                  
packaging                      25.0       python  (+1 duplicate)  
pbr                            7.0.1      python                  
pygments                       2.19.2     python                  
pyparsing                      3.3.2      python                  
pyyaml                         6.0.3      python                  
requests                       2.32.5     python                  
setuptools                     82.0.0     python  (+1 duplicate)  
setuptools-scm                 8.3.1      python                  
setuptools-scm                 9.2.2      python                  
snowballstemmer                3.0.1      python                  
sphinx                         7.4.7      python                  
sphinx-ansible-theme           0.10.4     python                  
sphinx-issues                  5.0.1      python                  
sphinx-rtd-theme               3.0.2      python                  
sphinxcontrib-apidoc           0.6.0      python                  
sphinxcontrib-applehelp        2.0.0      python                  
sphinxcontrib-devhelp          2.0.0      python                  
sphinxcontrib-htmlhelp         2.1.0      python                  
sphinxcontrib-jquery           4.1        python                  
sphinxcontrib-jsmath           1.0.1      python                  
sphinxcontrib-qthelp           2.0.0      python                  
sphinxcontrib-serializinghtml  2.0.0      python                  
sphinxcontrib-towncrier        0.5.0a0    python                  
tomli                          2.2.1      python                  
towncrier                      25.8.0     python                  
typing-extensions              4.14.1     python                  
urllib3                        2.6.3      python                  
wheel                          0.45.1     python
